id,cement,slag,ash,water,superplastic,coarseagg,fineagg,age,strength
A1,102,153,0,192,0,887,942,3,4.57
A2,102,153,0,192,0,887,942,7,7.68
A3,102,153,0,192,0,887,942,28,17.28
A4,102,153,0,192,0,887,942,90,25.46
A5,108.3,162.4,0,203.5,0,938.2,849,3,2.33
A6,108.3,162.4,0,203.5,0,938.2,849,7,7.72
A7,108.3,162.4,0,203.5,0,938.2,849,28,20.59
A8,108.3,162.4,0,203.5,0,938.2,849,90,29.23
A9,116,173,0,192,0,909.8,891.9,3,6.28
A10,116,173,0,192,0,909.8,891.9,7,10.09
A11,116,173,0,192,0,909.8,891.9,28,22.35
A12,116,173,0,192,0,909.8,891.9,90,31.02
A13,122.6,183.9,0,203.5,0,958.2,800.1,3,3.32
A14,122.6,183.9,0,203.5,0,958.2,800.1,7,10.35
A15,122.6,183.9,0,203.5,0,958.2,800.1,28,24.29
A16,122.6,183.9,0,203.5,0,958.2,800.1,90,33.19
A17,132,207,161,179,5,867,736,28,33.3
A18,132,206.5,160.9,178.9,5.5,866.9,735.6,28,33.31
A19,133,200,0,192,0,927.4,839.2,3,6.88
A20,133,200,0,192,0,927.4,839.2,7,13.66
A21,133,210,0,196,3,949,795,28,31.03
A22,133,200,0,192,0,927.4,839.2,28,27.87
A23,133,200,0,192,0,927.4,839.2,90,36.59
A24,133.1,210.2,0,195.7,3.1,949.4,795.3,28,28.94
A25,134.7,0,165.7,180.2,10,961,804.9,28,13.29
A26,135,105,193,196,6,965,643,28,21.91
A27,135,0,166,180,10,961,805,28,13.29
A28,135.7,203.5,0,185.7,0,1076.2,759.3,7,7.51
A29,135.7,203.5,0,185.7,0,1076.2,759.3,28,18.2
A30,136,196,98,199,6,847,783,28,26.97
A31,136,162,126,172,10,923,764,28,29.07
A32,136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,29.07
A33,139.6,209.4,0,192,0,1047,806.9,3,8.06
A34,139.6,209.4,0,192,0,1047,806.9,7,14.59
A35,139.6,209.4,0,192,0,1047,806.9,28,28.24
A36,139.6,209.4,0,192,0,1047,806.9,90,39.36
A37,139.6,209.4,0,192,0,1047,806.9,180,44.21
A38,139.6,209.4,0,192,0,1047,806.9,360,44.7
A39,139.7,163.9,127.7,236.7,5.8,868.6,655.6,28,35.23
A40,139.9,132.6,103.3,200.3,7.4,916,753.4,28,36.44
A41,140,164,128,237,6,869,656,28,35.23
A42,140,133,103,200,7,916,753,28,36.44
A43,141.3,212,0,203.5,0,971.8,748.5,3,4.83
A44,141.3,212,0,203.5,0,971.8,748.5,7,10.39
A45,141.3,212,0,203.5,0,971.8,748.5,28,29.89
A46,141.3,212,0,203.5,0,971.8,748.5,90,39.66
A47,141.9,166.6,129.7,173.5,10.9,882.6,785.3,28,44.61
A48,142,167,130,174,11,883,785,28,44.61
A49,143,169,143,191,8,967,643,28,29.72
A50,143,169.4,142.7,190.7,8.4,967.4,643.5,28,29.73
A51,143.6,0,174.9,158.4,17.9,942.7,844.5,28,15.42
A52,143.7,170.2,132.6,191.6,8.5,814.1,805.3,28,29.87
A53,143.8,136.3,106.2,178.1,7.5,941.5,774.3,28,26.15
A54,144,170,133,192,8,814,805,28,29.87
A55,144,0,175,158,18,943,844,28,15.42
A56,144,136,106,178,7,941,774,28,26.14
A57,144,15,195,176,6,1021,709,28,15.34
A58,144.8,0,133.6,180.8,11.1,979.5,811.5,28,13.2
A59,145,116,119,184,5.7,833,880,28,29.16
A60,145,0,134,181,11,979,812,28,13.2
A61,145,0,179,202,8,824,869,28,10.54
A62,145.4,0,178.9,201.7,7.8,824,868.7,28,10.54
A63,145.7,172.6,0,181.9,3.4,985.8,816.8,28,23.74
A64,145.9,230.5,0,202.5,3.4,827,871.8,28,32.72
A65,146,230,0,202,3,827,872,28,33.06
A66,146,173,0,182,3,986,817,28,23.74
A67,146.5,114.6,89.3,201.9,8.8,860,829.5,28,19.99
A68,147,115,89,202,9,860,829,28,19.99
A69,147.8,175.1,0,171.2,2.2,1000,828.5,28,26.92
A70,148,0,182,181,15,839,884,28,15.52
A71,148,175,0,171,2,1000,828,28,26.92
A72,148,0,137,158,16,1002,830,28,17.95
A73,148.1,0,136.6,158.1,16.1,1001.8,830.1,28,17.96
A74,148.1,0,182.1,181.4,15,838.9,884.3,28,15.53
A75,148.5,139.4,108.6,192.7,6.1,892.4,780,28,23.7
A76,149,118,92,183,7,953,780,28,23.52
A77,149,153,194,192,8,935,623,28,24.58
A78,149,139,109,193,6,892,780,28,23.69
A79,149,236,0,176,13,847,893,28,32.96
A80,149,117.6,91.7,182.9,7.1,953.4,780.3,28,23.52
A81,149.5,236,0,175.8,12.6,846.8,892.7,28,32.96
A82,150,237,0,174,12,1069,675,28,37.43
A83,150,236.8,0,173.8,11.9,1069.3,674.8,28,37.43
A84,150.7,0,185.3,166.7,15.6,1074.5,678,28,13.46
A85,150.9,0,183.9,166.6,11.6,991.2,772.2,28,15.57
A86,151,0,184,167,12,991,772,28,15.57
A87,151,0,185,167,16,1074,678,28,13.46
A88,151.6,0,111.9,184.4,7.9,992,815.9,28,12.18
A89,151.8,178.1,138.7,167.5,18.3,944,694.6,28,36.35
A90,152,178,139,168,18,944,695,28,36.35
A91,152,0,112,184,8,992,816,28,12.18
A92,152.6,238.7,0,200,6.3,1001.8,683.9,28,26.86
A93,152.7,144.7,0,178.1,8,999.7,822.2,28,19.01
A94,153,102,0,192,0,888,943.1,3,4.78
A95,153,102,0,192,0,888,943.1,7,8.37
A96,153,239,0,200,6,1002,684,28,26.86
A97,153,145,113,178,8,867,824,28,26.23
A98,153,145,113,178,8,1002,689,28,25.56
A99,153,145,0,178,8,1000,822,28,19.01
A100,153,102,0,192,0,888,943.1,28,17.96
A101,153,102,0,192,0,888,943.1,90,26.32
A102,153.1,145,113,178.5,8,1001.9,688.7,28,25.56
A103,153.1,145,113,178.5,8,867.2,824,28,26.23
A104,153.6,144.2,112.3,220.1,10.1,923.2,657.9,28,16.5
A105,154,174,185,228,7,845,612,28,24.34
A106,154,144,112,220,10,923,658,28,16.5
A107,154.8,183.4,0,193.3,9.1,1047.4,696.7,28,18.29
A108,154.8,183.4,0,193.3,9.1,877.2,867.7,28,23.79
A109,154.8,0,142.8,193.3,9.1,1047.4,696.7,28,12.46
A110,154.8,0,142.8,193.3,9.1,877.2,867.7,28,9.74
A111,155,184,143,194,9,880,699,28,28.99
A112,155,0,143,193,9,877,868,28,9.74
A113,155,183,0,193,9,877,868,28,23.79
A114,155,183,0,193,9,1047,697,28,18.28
A115,155,0,143,193,9,1047,697,28,12.46
A116,155.2,183.9,143.2,193.8,9.2,879.6,698.5,28,28.99
A117,155.6,243.5,0,180.3,10.7,1022,697.7,28,37.36
A118,156,243,0,180,11,1022,698,28,37.36
A119,156,178,187,221,7,854,614,28,29.41
A120,157,236,0,192,0,935.4,781.2,3,9.69
A121,157,236,0,192,0,935.4,781.2,7,16.89
A122,157,236,0,192,0,935.4,781.2,28,33.66
A123,157,214,152,200,9,819,704,28,33.05
A124,157,236,0,192,0,935.4,781.2,90,43.38
A125,158,0,195,220,11,898,713,28,8.54
A126,158.4,0,194.9,219.7,11,897.7,712.9,28,8.54
A127,158.6,148.9,116,175.1,15,953.3,719.7,28,27.68
A128,158.8,238.2,0,185.7,0,1040.6,734.3,7,9.62
A129,158.8,238.2,0,185.7,0,1040.6,734.3,28,21.07
A130,159,209,161,201,7,848,669,28,30.88
A131,159,187,0,176,11,990,789,28,32.76
A132,159,149,116,175,15,953,720,28,27.68
A133,159.1,186.7,0,175.6,11.3,989.6,788.9,28,32.77
A134,159.8,250,0,168.4,12.2,1049.3,688.2,28,39.46
A135,160,128,122,182,6.4,824,879,28,39.4
A136,160,188,146,203,11,829,710,28,32.84
A137,160,250,0,168,12,1049,688,28,39.45
A138,160.2,188,146.4,203.2,11.3,828.7,709.7,28,35.31
A139,162,214,164,202,10,820,680,28,30.65
A140,162,190.1,148.1,178.8,18.8,838.1,741.4,28,33.76
A141,162,207,172,216,10,822,638,28,39.84
A142,162,190,148,179,19,838,741,28,33.76
A143,164,0,200,181,13,849,846,28,15.09
A144,164,163,128,197,8,961,641,28,27.23
A145,164.2,0,200.1,181.2,12.6,849.3,846,28,15.09
A146,164.6,0,150.4,181.6,11.7,1023.3,728.9,28,18.03
A147,165,128.5,132.1,175.1,8.1,1005.8,746.6,3,19.42
A148,165,0,143.6,163.8,0,1005.6,900.9,3,14.4
A149,165,0,143.6,163.8,0,1005.6,900.9,14,16.88
A150,165,128.5,132.1,175.1,8.1,1005.8,746.6,14,33.09
A151,165,0,143.6,163.8,0,1005.6,900.9,28,26.2
A152,165,0,150,182,12,1023,729,28,18.03
A153,165,128.5,132.1,175.1,8.1,1005.8,746.6,28,46.39
A154,165,0,143.6,163.8,0,1005.6,900.9,56,36.56
A155,165,128.5,132.1,175.1,8.1,1005.8,746.6,56,53.72
A156,165,128.5,132.1,175.1,8.1,1005.8,746.6,100,55.02
A157,165,0,143.6,163.8,0,1005.6,900.9,100,37.96
A158,166,260,0,183,13,859,827,28,37.91
A159,166,259.7,0,183.2,12.7,858.8,826.8,28,37.92
A160,166.1,0,163.3,176.5,4.5,1058.6,780.1,3,10.76
A161,166.1,0,163.3,176.5,4.5,1058.6,780.1,14,25.48
A162,166.1,0,163.3,176.5,4.5,1058.6,780.1,28,21.54
A163,166.1,0,163.3,176.5,4.5,1058.6,780.1,56,28.63
A164,166.1,0,163.3,176.5,4.5,1058.6,780.1,100,33.54
A165,166.8,250.2,0,203.5,0,975.6,692.6,3,6.9
A166,166.8,250.2,0,203.5,0,975.6,692.6,7,15.75
A167,166.8,250.2,0,203.5,0,975.6,692.6,28,33.95
A168,166.8,250.2,0,203.5,0,975.6,692.6,90,43.57
A169,167,75.4,167,164,7.9,1007.3,770.1,3,15.52
A170,167,75.4,167,164,7.9,1007.3,770.1,14,32.9
A171,167,187,195,185,7,898,636,28,23.89
A172,167,75.4,167,164,7.9,1007.3,770.1,28,41.41
A173,167,75.4,167,164,7.9,1007.3,770.1,56,53.46
A174,167,75.4,167,164,7.9,1007.3,770.1,100,56.81
A175,167.4,129.9,128.6,175.5,7.8,1006.3,746.6,3,14.94
A176,167.4,129.9,128.6,175.5,7.8,1006.3,746.6,14,31.81
A177,167.4,129.9,128.6,175.5,7.8,1006.3,746.6,28,41.2
A178,167.4,129.9,128.6,175.5,7.8,1006.3,746.6,56,51.72
A179,167.4,129.9,128.6,175.5,7.8,1006.3,746.6,100,53.66
A180,168,42.1,163.8,121.8,5.7,1058.7,780.1,3,7.75
A181,168,42.1,163.8,121.8,5.7,1058.7,780.1,14,17.82
A182,168,42.1,163.8,121.8,5.7,1058.7,780.1,28,24.24
A183,168,42.1,163.8,121.8,5.7,1058.7,780.1,56,32.85
A184,168,42.1,163.8,121.8,5.7,1058.7,780.1,100,39.23
